config_id,testFile,api,transferSize,blockSize,segmentCount,numTasks,filePerProc,useStridedDatatype,setAlignment,useO_DIRECT,fsync,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH
00097,test00097,POSIX,64K,4M,64,4,1,0,4K,0,0,4M,1
00098,test00098,MPIIO,64K,1M,1,16,1,0,1M,0,0,1M,1
00099,test00099,POSIX,1M,1M,256,16,1,0,1M,0,0,4M,4
00100,test00100,MPIIO,1M,256M,256,4,1,0,4K,0,0,1M,4
00101,test00101,MPIIO,64K,256M,256,16,1,0,1M,0,0,1M,1
00102,test00102,POSIX,64K,16M,64,16,1,0,1M,0,0,1M,4
00103,test00103,MPIIO,10K,4M,1,16,1,0,4K,0,0,1M,1
00104,test00104,POSIX,1M,1G,16,64,1,0,1M,0,0,4M,4
00105,test00105,POSIX,4K,1G,16,4,1,0,1M,0,0,4M,1
00106,test00106,MPIIO,64K,1G,64,16,1,0,1M,0,0,4M,4
00107,test00107,POSIX,1M,1M,64,4,1,0,1M,0,0,1M,1
00108,test00108,MPIIO,4K,16M,1,16,1,0,4K,0,0,1M,4
00109,test00109,MPIIO,4K,16M,256,4,1,0,1M,0,0,1M,4
00110,test00110,MPIIO,100K,16M,16,16,1,0,4K,0,0,4M,4
00111,test00111,MPIIO,100K,1M,1,16,1,0,4K,0,0,4M,4
00112,test00112,MPIIO,4K,16M,256,16,1,0,1M,0,0,4M,1
00113,test00113,POSIX,4K,4M,1,4,1,0,4K,0,0,4M,1
00114,test00114,POSIX,100K,4M,256,64,1,0,1M,0,0,4M,4
00115,test00115,POSIX,64K,1G,16,4,1,0,4K,0,0,1M,4
00116,test00116,POSIX,100K,1M,1,16,1,0,4K,0,0,1M,1
00117,test00117,MPIIO,10K,4M,1,4,1,0,1M,0,0,4M,1
00118,test00118,POSIX,10K,1G,64,4,1,0,1M,0,0,4M,1
00119,test00119,POSIX,64K,1G,1,64,1,0,1M,0,0,1M,4
00120,test00120,MPIIO,100K,256M,1,64,1,0,4K,0,0,4M,4
00121,test00121,MPIIO,4K,256M,64,4,1,0,4K,0,0,4M,1
00122,test00122,POSIX,4K,1M,64,4,1,0,1M,0,0,4M,1
00123,test00123,POSIX,100K,256M,64,64,1,0,1M,0,0,4M,4
00124,test00124,MPIIO,10K,256M,64,64,1,0,1M,0,0,4M,1
00125,test00125,MPIIO,1M,1G,256,64,1,0,4K,0,0,4M,1
00126,test00126,POSIX,100K,4M,16,64,1,0,1M,0,0,4M,1
00127,test00127,MPIIO,100K,1M,64,16,1,0,4K,0,0,4M,1
00128,test00128,POSIX,1M,1G,1,16,1,0,4K,0,0,1M,4
00129,test00129,MPIIO,4K,4M,256,16,1,0,1M,0,0,1M,1
00130,test00130,POSIX,4K,1M,64,4,1,0,1M,0,0,4M,4
00131,test00131,POSIX,1M,256M,256,4,1,0,4K,0,0,1M,4
00132,test00132,MPIIO,1M,4M,64,4,1,0,1M,0,0,4M,4
00133,test00133,MPIIO,64K,256M,256,4,1,0,4K,0,0,4M,1
00134,test00134,MPIIO,1M,1G,64,4,1,0,4K,0,0,1M,1
00135,test00135,POSIX,10K,4M,64,16,1,0,1M,0,0,4M,4
00136,test00136,MPIIO,64K,4M,16,4,1,0,1M,0,0,1M,4
00137,test00137,MPIIO,10K,1M,16,16,1,0,1M,0,0,1M,4
00138,test00138,POSIX,10K,1M,64,16,1,0,4K,0,0,1M,1
00139,test00139,MPIIO,100K,1G,64,16,1,0,4K,0,0,4M,4
00140,test00140,POSIX,4K,16M,64,64,1,0,1M,0,0,4M,1
00141,test00141,MPIIO,64K,256M,1,4,1,0,1M,0,0,1M,4
00142,test00142,POSIX,1M,256M,1,64,1,0,1M,0,0,1M,1
00143,test00143,MPIIO,1M,16M,256,16,1,0,1M,0,0,4M,1
00144,test00144,MPIIO,64K,256M,64,64,1,0,1M,0,0,1M,4
00145,test00145,MPIIO,1M,4M,16,16,1,0,4K,0,0,1M,1
00146,test00146,POSIX,100K,16M,1,64,1,0,4K,0,0,4M,1
00147,test00147,POSIX,100K,16M,64,4,1,0,1M,0,0,1M,1
00148,test00148,MPIIO,64K,1M,64,64,1,0,4K,0,0,4M,4
00149,test00149,POSIX,10K,16M,1,16,1,0,1M,0,0,4M,4
00150,test00150,POSIX,10K,4M,256,4,1,0,4K,0,0,4M,4
00151,test00151,MPIIO,10K,256M,256,4,1,0,4K,0,0,4M,1
00152,test00152,POSIX,1M,1M,16,64,1,0,4K,0,0,1M,1
00153,test00153,POSIX,1M,16M,64,16,1,0,1M,0,0,1M,4
00154,test00154,POSIX,64K,16M,64,16,1,0,4K,0,0,1M,4
00155,test00155,MPIIO,64K,1G,64,4,1,0,1M,0,0,1M,1
00156,test00156,POSIX,10K,1M,64,64,1,0,1M,0,0,1M,1
00157,test00157,POSIX,64K,4M,64,16,1,0,1M,0,0,4M,1
00158,test00158,POSIX,4K,1M,64,16,1,0,1M,0,0,4M,4
00159,test00159,POSIX,64K,1M,64,16,1,0,4K,0,0,4M,4
00160,test00160,POSIX,4K,1M,64,16,1,0,4K,0,0,1M,4
00161,test00161,POSIX,100K,256M,16,16,1,0,4K,0,0,4M,1
00162,test00162,POSIX,64K,4M,64,64,1,0,4K,0,0,4M,4
00163,test00163,POSIX,10K,256M,256,16,1,0,4K,0,0,4M,4
00164,test00164,MPIIO,100K,1M,64,4,1,0,4K,0,0,1M,4
00165,test00165,MPIIO,10K,256M,64,64,1,0,4K,0,0,1M,1
00166,test00166,MPIIO,1M,256M,1,4,1,0,4K,0,0,4M,1
00167,test00167,POSIX,1M,1G,64,64,1,0,1M,0,0,4M,1
00168,test00168,POSIX,10K,4M,256,4,1,0,4K,0,0,1M,4
00169,test00169,MPIIO,64K,1G,256,4,1,0,1M,0,0,1M,4
00170,test00170,POSIX,4K,4M,256,64,1,0,1M,0,0,4M,4
00171,test00171,POSIX,100K,4M,1,64,1,0,1M,0,0,4M,4
00172,test00172,POSIX,64K,1G,256,64,1,0,4K,0,0,1M,4
00173,test00173,POSIX,64K,1M,64,64,1,0,4K,0,0,1M,1
00174,test00174,POSIX,1M,16M,256,16,1,0,4K,0,0,1M,4
00175,test00175,POSIX,4K,4M,256,16,1,0,1M,0,0,1M,1
00176,test00176,POSIX,1M,16M,1,64,1,0,1M,0,0,4M,1
00177,test00177,POSIX,10K,1G,64,16,1,0,1M,0,0,4M,1
00178,test00178,MPIIO,100K,1G,16,16,1,0,4K,0,0,4M,4
00179,test00179,MPIIO,100K,1G,256,16,1,0,1M,0,0,4M,1
00180,test00180,POSIX,4K,4M,256,64,1,0,1M,0,0,4M,4
00181,test00181,MPIIO,100K,1M,64,16,1,0,1M,0,0,4M,4
00182,test00182,POSIX,100K,256M,16,16,1,0,4K,0,0,1M,4
00183,test00183,MPIIO,4K,16M,256,64,1,0,4K,0,0,4M,1
00184,test00184,POSIX,64K,16M,256,4,1,0,4K,0,0,1M,1
00185,test00185,POSIX,100K,16M,64,64,1,0,4K,0,0,4M,4
00186,test00186,POSIX,1M,16M,16,64,1,0,1M,0,0,4M,4
00187,test00187,POSIX,64K,16M,64,4,1,0,4K,0,0,4M,1
00188,test00188,MPIIO,100K,1G,1,4,1,0,1M,0,0,4M,4
00189,test00189,MPIIO,100K,16M,64,16,1,0,1M,0,0,4M,4
00190,test00190,POSIX,10K,4M,256,16,1,0,1M,0,0,4M,4
00191,test00191,MPIIO,10K,256M,256,4,1,0,4K,0,0,1M,4
00192,test00192,MPIIO,64K,1M,64,16,1,0,1M,0,0,4M,1
00193,test00193,POSIX,1M,4M,16,4,1,0,4K,0,0,1M,1
00194,test00194,POSIX,100K,4M,16,64,1,0,4K,0,0,4M,4
00195,test00195,POSIX,64K,256M,1,64,1,0,1M,0,0,4M,1
00196,test00196,MPIIO,1M,1M,256,16,1,0,1M,0,0,4M,1
00197,test00197,POSIX,100K,16M,1,64,1,0,4K,0,0,4M,1
00198,test00198,MPIIO,1M,1M,1,64,1,0,1M,0,0,1M,4
00199,test00199,MPIIO,4K,4M,64,64,1,0,1M,0,0,1M,4
00200,test00200,MPIIO,100K,1G,16,4,1,0,1M,0,0,4M,1
00201,test00201,POSIX,10K,16M,1,64,1,0,1M,0,0,4M,1
00202,test00202,POSIX,64K,4M,1,64,1,0,4K,0,0,1M,4
00203,test00203,POSIX,64K,1G,256,4,1,0,1M,0,0,4M,1
00204,test00204,MPIIO,100K,256M,1,64,1,0,1M,0,0,4M,1
00205,test00205,POSIX,10K,16M,256,64,1,0,1M,0,0,1M,4
00206,test00206,MPIIO,4K,1M,256,64,1,0,4K,0,0,4M,4
00207,test00207,POSIX,10K,4M,256,4,1,0,4K,0,0,1M,4
00208,test00208,MPIIO,64K,1M,256,16,1,0,4K,0,0,4M,1
00209,test00209,POSIX,1M,4M,1,64,1,0,1M,0,0,4M,4
00210,test00210,MPIIO,64K,256M,1,64,1,0,1M,0,0,4M,1
00211,test00211,POSIX,10K,1G,256,4,1,0,4K,0,0,4M,1
00212,test00212,POSIX,100K,1M,64,16,1,0,1M,0,0,4M,1
00213,test00213,POSIX,4K,1G,256,4,1,0,1M,0,0,1M,1
00214,test00214,POSIX,64K,1G,16,64,1,0,4K,0,0,1M,4
00215,test00215,MPIIO,64K,16M,1,64,1,0,1M,0,0,1M,4
00216,test00216,MPIIO,64K,1G,16,4,1,0,4K,0,0,1M,1
00217,test00217,POSIX,64K,1M,256,64,1,0,4K,0,0,4M,4
00218,test00218,MPIIO,10K,1G,1,4,1,0,1M,0,0,4M,1
00219,test00219,MPIIO,64K,1M,64,4,1,0,4K,0,0,4M,1
00220,test00220,MPIIO,4K,256M,64,16,1,0,1M,0,0,1M,4
00221,test00221,MPIIO,100K,4M,16,64,1,0,1M,0,0,4M,4
00222,test00222,POSIX,64K,1G,1,4,1,0,1M,0,0,4M,4
00223,test00223,MPIIO,1M,16M,64,4,1,0,1M,0,0,4M,1
00224,test00224,MPIIO,10K,1M,256,64,1,0,1M,0,0,1M,1
00225,test00225,POSIX,1M,4M,1,16,1,0,1M,0,0,4M,4
00226,test00226,POSIX,64K,16M,64,16,1,0,4K,0,0,1M,1
00227,test00227,MPIIO,4K,1M,16,64,1,0,4K,0,0,1M,1
00228,test00228,POSIX,64K,256M,256,16,1,0,1M,0,0,4M,4
00229,test00229,MPIIO,100K,4M,1,16,1,0,4K,0,0,4M,1
00230,test00230,POSIX,10K,256M,1,16,1,0,1M,0,0,4M,1
00231,test00231,POSIX,100K,1G,256,4,1,0,4K,0,0,4M,4
00232,test00232,MPIIO,1M,1G,16,16,1,0,4K,0,0,1M,1
00233,test00233,MPIIO,4K,1G,1,4,1,0,4K,0,0,1M,1
00234,test00234,MPIIO,1M,4M,64,4,1,0,1M,0,0,1M,1
00235,test00235,POSIX,10K,1M,256,4,1,0,4K,0,0,4M,4
00236,test00236,POSIX,100K,4M,64,16,1,0,4K,0,0,4M,1
00237,test00237,MPIIO,100K,1G,64,16,1,0,4K,0,0,4M,4
00238,test00238,POSIX,4K,4M,256,64,1,0,1M,0,0,4M,4
00239,test00239,MPIIO,1M,256M,1,4,1,0,4K,0,0,4M,1
00240,test00240,MPIIO,1M,1M,1,16,1,0,4K,0,0,1M,4
00241,test00241,MPIIO,64K,4M,256,16,1,0,4K,0,0,4M,4
00242,test00242,POSIX,100K,1G,64,16,1,0,1M,0,0,1M,4
00243,test00243,POSIX,10K,256M,16,16,1,0,4K,0,0,1M,1
00244,test00244,MPIIO,1M,256M,1,64,1,0,4K,0,0,4M,1
00245,test00245,POSIX,64K,256M,64,4,1,0,4K,0,0,1M,1
00246,test00246,MPIIO,10K,256M,16,4,1,0,1M,0,0,4M,4
00247,test00247,MPIIO,64K,1G,256,64,1,0,1M,0,0,1M,1
00248,test00248,POSIX,64K,1G,1,16,1,0,1M,0,0,4M,1
00249,test00249,MPIIO,100K,4M,64,4,1,0,4K,0,0,1M,1
00250,test00250,MPIIO,64K,1M,1,64,1,0,4K,0,0,1M,1
00251,test00251,POSIX,10K,4M,16,16,1,0,1M,0,0,4M,4
00252,test00252,MPIIO,100K,1M,16,16,1,0,4K,0,0,4M,1
00253,test00253,MPIIO,100K,1M,1,64,1,0,1M,0,0,4M,1
00254,test00254,POSIX,100K,4M,64,4,1,0,4K,0,0,4M,4
00255,test00255,MPIIO,10K,16M,1,16,1,0,4K,0,0,1M,4
00256,test00256,POSIX,100K,1M,1,16,1,0,4K,0,0,4M,1
00257,test00257,POSIX,4K,1M,16,4,1,0,1M,0,0,1M,4
00258,test00258,MPIIO,10K,1M,256,4,1,0,1M,0,0,4M,1
00259,test00259,POSIX,1M,256M,64,16,1,0,4K,0,0,4M,4
00260,test00260,POSIX,100K,256M,64,4,1,0,1M,0,0,4M,1
00261,test00261,POSIX,4K,1M,16,4,1,0,1M,0,0,4M,1
00262,test00262,POSIX,10K,1G,1,4,1,0,1M,0,0,1M,1
00263,test00263,POSIX,1M,256M,16,64,1,0,4K,0,0,4M,4
00264,test00264,MPIIO,10K,256M,1,64,1,0,4K,0,0,4M,4
00265,test00265,POSIX,1M,1G,1,64,1,0,4K,0,0,4M,1
00266,test00266,MPIIO,1M,4M,64,16,1,0,4K,0,0,4M,1
00267,test00267,POSIX,1M,4M,64,16,1,0,1M,0,0,1M,1
00268,test00268,POSIX,64K,4M,1,16,1,0,1M,0,0,1M,1
00269,test00269,POSIX,64K,1G,64,16,1,0,4K,0,0,4M,4
00270,test00270,POSIX,64K,16M,256,16,1,0,1M,0,0,1M,4
00271,test00271,MPIIO,64K,1G,256,64,1,0,4K,0,0,4M,4
00272,test00272,MPIIO,10K,1M,16,64,1,0,4K,0,0,1M,4
00273,test00273,POSIX,1M,4M,256,4,1,0,4K,0,0,1M,4
00274,test00274,MPIIO,100K,16M,64,16,1,0,4K,0,0,1M,4
00275,test00275,MPIIO,4K,1G,16,16,1,0,1M,0,0,1M,1
00276,test00276,POSIX,1M,16M,256,64,1,0,4K,0,0,1M,4
00277,test00277,MPIIO,10K,16M,16,64,1,0,1M,0,0,1M,4
00278,test00278,POSIX,100K,4M,64,64,1,0,1M,0,0,1M,1
00279,test00279,MPIIO,4K,1M,1,64,1,0,4K,0,0,4M,1
00280,test00280,POSIX,1M,1G,16,64,1,0,4K,0,0,1M,4
00281,test00281,POSIX,4K,4M,64,16,1,0,4K,0,0,1M,1
00282,test00282,MPIIO,1M,1G,1,16,1,0,1M,0,0,4M,1
00283,test00283,POSIX,4K,16M,1,4,1,0,1M,0,0,4M,1
00284,test00284,POSIX,4K,4M,16,64,1,0,4K,0,0,1M,4
00285,test00285,POSIX,100K,256M,256,16,1,0,1M,0,0,4M,4
00286,test00286,POSIX,4K,1M,16,4,1,0,4K,0,0,1M,4
00287,test00287,POSIX,4K,256M,16,64,1,0,4K,0,0,4M,4
00288,test00288,POSIX,100K,1M,64,16,1,0,4K,0,0,1M,4
00289,test00289,POSIX,64K,1G,1,64,1,0,4K,0,0,4M,4
00290,test00290,MPIIO,64K,1M,1,16,1,0,1M,0,0,4M,4
00291,test00291,POSIX,64K,1G,256,4,1,0,1M,0,0,4M,1
00292,test00292,MPIIO,10K,16M,1,64,1,0,4K,0,0,4M,4
00293,test00293,POSIX,1M,16M,64,16,1,0,1M,0,0,4M,1
00294,test00294,MPIIO,4K,1G,1,16,1,0,1M,0,0,1M,4
00295,test00295,MPIIO,10K,4M,1,64,1,0,1M,0,0,1M,1
00296,test00296,MPIIO,100K,1M,16,16,1,0,4K,0,0,1M,4
00297,test00297,MPIIO,100K,16M,64,16,1,0,4K,0,0,1M,1
00298,test00298,POSIX,64K,1M,16,4,1,0,1M,0,0,1M,1
00299,test00299,POSIX,1M,1M,16,64,1,0,1M,0,0,1M,1
00300,test00300,POSIX,10K,1G,256,64,1,0,4K,0,0,4M,1
00301,test00301,MPIIO,100K,4M,64,4,1,0,1M,0,0,1M,4
00302,test00302,POSIX,1M,1G,256,64,1,0,1M,0,0,1M,1
00303,test00303,POSIX,1M,16M,64,4,1,0,1M,0,0,4M,4
00304,test00304,POSIX,4K,256M,16,64,1,0,4K,0,0,4M,4
00305,test00305,POSIX,64K,1M,256,16,1,0,1M,0,0,4M,1
00306,test00306,POSIX,64K,16M,64,4,1,0,1M,0,0,4M,4
00307,test00307,MPIIO,100K,1M,256,4,1,0,4K,0,0,4M,4
00308,test00308,MPIIO,4K,1G,256,64,1,0,4K,0,0,1M,1
00309,test00309,MPIIO,64K,256M,16,4,1,0,4K,0,0,1M,1
00310,test00310,POSIX,64K,4M,1,64,1,0,4K,0,0,4M,4
00311,test00311,MPIIO,10K,256M,1,4,1,0,4K,0,0,1M,4
00312,test00312,MPIIO,1M,1M,256,64,1,0,4K,0,0,1M,1
00313,test00313,POSIX,100K,1M,256,4,1,0,4K,0,0,4M,1
00314,test00314,MPIIO,1M,1M,64,16,1,0,1M,0,0,4M,1
00315,test00315,POSIX,64K,1G,16,64,1,0,4K,0,0,4M,1
00316,test00316,POSIX,1M,1G,64,16,1,0,4K,0,0,4M,4
00317,test00317,MPIIO,4K,4M,256,64,1,0,1M,0,0,1M,4
00318,test00318,MPIIO,4K,1M,16,16,1,0,4K,0,0,4M,4
00319,test00319,MPIIO,1M,1M,64,64,1,0,4K,0,0,4M,4
00320,test00320,MPIIO,64K,1G,1,64,1,0,4K,0,0,4M,4
00321,test00321,MPIIO,64K,1M,1,4,1,0,4K,0,0,4M,4
00322,test00322,MPIIO,4K,256M,16,16,1,0,1M,0,0,1M,1
00323,test00323,MPIIO,100K,16M,1,16,1,0,4K,0,0,4M,1
00324,test00324,POSIX,64K,4M,1,16,1,0,4K,0,0,1M,1
00325,test00325,POSIX,64K,256M,256,16,1,0,1M,0,0,1M,1
00326,test00326,POSIX,100K,1G,256,16,1,0,4K,0,0,4M,4
00327,test00327,POSIX,1M,256M,256,64,1,0,4K,0,0,4M,1
00328,test00328,MPIIO,64K,256M,64,16,1,0,1M,0,0,1M,1
00329,test00329,MPIIO,4K,1M,256,4,1,0,1M,0,0,1M,1
00330,test00330,MPIIO,10K,1M,16,64,1,0,1M,0,0,4M,1
00331,test00331,POSIX,100K,1G,1,16,1,0,1M,0,0,1M,1
00332,test00332,MPIIO,4K,1G,64,4,1,0,4K,0,0,1M,4
00333,test00333,POSIX,64K,256M,1,16,1,0,4K,0,0,4M,4
00334,test00334,POSIX,1M,4M,16,64,1,0,4K,0,0,4M,1
00335,test00335,POSIX,1M,4M,1,4,1,0,4K,0,0,1M,4
00336,test00336,MPIIO,100K,256M,1,16,1,0,1M,0,0,1M,1
00337,test00337,MPIIO,100K,256M,64,64,1,0,4K,0,0,4M,4
00338,test00338,POSIX,64K,256M,64,16,1,0,1M,0,0,4M,1
00339,test00339,POSIX,4K,1M,16,4,1,0,4K,0,0,1M,1
00340,test00340,MPIIO,10K,4M,1,16,1,0,1M,0,0,1M,4
00341,test00341,MPIIO,10K,1M,16,64,1,0,1M,0,0,4M,4
00342,test00342,MPIIO,64K,4M,1,4,1,0,1M,0,0,4M,1
00343,test00343,MPIIO,10K,256M,16,64,1,0,4K,0,0,4M,1
00344,test00344,POSIX,1M,1M,16,16,1,0,1M,0,0,1M,1
00345,test00345,POSIX,4K,1M,256,4,1,0,1M,0,0,4M,4
00346,test00346,POSIX,4K,1G,64,4,1,0,1M,0,0,1M,1
00347,test00347,POSIX,64K,16M,1,64,1,0,1M,0,0,4M,1
00348,test00348,MPIIO,100K,16M,1,16,1,0,4K,0,0,4M,4
00349,test00349,MPIIO,4K,4M,16,4,1,0,4K,0,0,1M,1
00350,test00350,MPIIO,4K,16M,256,4,1,0,1M,0,0,4M,1
00351,test00351,MPIIO,1M,16M,1,16,1,0,4K,0,0,1M,4
00352,test00352,POSIX,4K,1G,64,4,1,0,1M,0,0,1M,1
00353,test00353,POSIX,10K,4M,256,4,1,0,1M,0,0,1M,4
00354,test00354,MPIIO,64K,1M,64,4,1,0,1M,0,0,1M,4
00355,test00355,POSIX,1M,4M,16,4,1,0,1M,0,0,1M,4
00356,test00356,MPIIO,4K,1G,256,16,1,0,1M,0,0,4M,1
00357,test00357,POSIX,1M,1M,1,64,1,0,4K,0,0,1M,4
00358,test00358,POSIX,64K,16M,256,4,1,0,1M,0,0,1M,1
